Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct,Explaination,Image
Which of the following is true regarding patients with temporal (or giant cell) arteritis? ,The most specific finding is jaw claudication. ,Permanent visual loss occurs in 50% of patients. ,Treatment with corticosteroids should be withheld until there is biopsy-proven disease. ,Vertigo is the most sensitive clinical finding. ,The peak age of onset is 40 years. ,A,"Temporal arteritis (or giant cell arteritis) is a large vessel vasculitis that primarily affects branches of the carotid artery. The disease is rare before the age of 50, and incidence peaks in the seventh decade. The most sensitive finding is a new headache, whereas the most specific finding is jaw claudication. However, the disease often presents vaguely with systemic symptoms such as a fever of unknown origin, fatigue, malaise, and anorexia. The diagnosis should be considered in any older person with fever of unknown origin. Scalp pain is a more specific finding than headache, particularly when localized over the temporal artery. Vertigo is not a manifestation of the disease. Permanent visual loss occurs in only 15% of patients and is usually preceded by the development of blurring, diplopia, or amaurosis fugax. Corticosteroids are the treatment of choice and should never be withheld if the diagnosis is seriously considered. Multiple studies have demonstrated that treatment with steroids does not affect the accuracy of biopsy if performed within a few weeks. ",
A 24-year-old female presents with persistent cough for 4 weeks. She had upper respiratory infection (URI)-like symptoms 2 weeks before and then developed a persistent cough for the next month. She states she has had coughing fits many times during the day and “can’t stop coughing” for almost a minute once she starts. Which of the following is true regarding this patient? ,The disease is caused by a gram-negative coccobacillus. ,Antibiotic therapy should eliminate the symptoms within a few days. ,Bacterial culture is indicated to confirm the diagnosis. ,The disease is not contagious ,Mortality is close to 30%. ,A,"The patient has evidence of whooping cough caused by B. pertussis, a gram-negative coccobacillus. According to the CDC’s definition, whooping cough should be considered in the absence of a more likely diagnosis when a patient has a “cough illness” lasting >2 weeks with one of the following symptoms: Paroxysms of coughing, or inspiratory “whoop,” or post-tussive vomiting, or apnea in infants <1 year. The disease occurs in three phases—the catarrhal phase, a nonspecific URI like syndrome lasting 1 to 2 weeks; the paroxysmal phase lasting up to 1 month, with paroxysms of coughing fits; and the convalescent phase lasting up to several months, with a chronic, intermittent cough. Antibiotic therapy with macrolides is usually only effective in the catarrhal phase, but should be given to patients to reduce the high degree of contagiousness. Cultures are useful only in the catarrhal phase, and have low sensitivity during the paroxysmal phase. Mortality is low and usually due to superinfection, most commonly from pneumonia. ",
Which of the following is the right remedy for the corresponding bleeding problem? ,Desmopressin (dDAVP) for patients with severe uremia and persistent oozing epistaxis  ,Prothrombin complex concentrate (PCC) for bleeding due to thrombocytopenia,Recombinant factor VIII for a bleeding patient with hemophilia B ,Recombinant von Willebrand factor (VWF) for a bleeding patient with hemophilia A ,All of the above are appropriate ,A,"Desmopressin (dDAVP) is thought to work by promoting the release of large factor VIII:von Willebrand factor multimers from endothelial cells to promote platelet function. It is fast acting, easy to administer, and effective. While hemodialysis provides a better long-term solution in uremic patients, dDAVP is a much more effective short-term solution. Given its mechanism, dDAVP can also be used for patients with hemophilia A or von Willebrand disease with mild bleeding. Prothrombin complex concentrates (either 4-factor or 3-factor) are alternatives to fresh frozen plasma in patients with vitamin-K antagonist (e.g., warfarin) associated bleeding. Thrombocytopenia associated bleeding should be treated with a platelet transfusion. Recombinant factor VIII is used to treat patients with hemophilia A (who have factor VIII deficiency) as opposed to hemophilia B (who have factor IX deficiency). Recombinant von Willebrand factor (VWF) is not appropriate for hemophilia A patients in the absence of recombinant factor VIII. ",
"A 47-year-old police officer is brought to the ED after being found unresponsive. The officer was called to respond to an unidentified young female, who was apparently sleeping in a car parked at a shopping center. Bystanders note that after knocking on the windows, the officer opened the door and collapsed to the ground shortly afterward. The bystanders at the scene stated that there was a sharp, foul odor similar to a “rotten egg” that appeared to be coming from the vehicle, so they kept their distance. Which of the following antidotes is most likely beneficial in treating this officer? ",Methylene blue ,Sodium nitrite ,Hydroxycobalamin ,Sodium thiosulfate ,Succimer ,B,"The officer’s sudden collapse in the setting of a gaseous “rotten egg” smell strongly suggests the presence of hydrogen sulfide. The use of hydrogen sulfide as a relatively easy, painless means to commit suicide has gained popularity in recent years. At low concentrations, hydrogen sulfide may cause only minor irritation, cough, and a sensation of dyspnea. At higher levels, hydrogen sulfide inhibits mitochondrial cytochrome oxidase, which uncouples electron transport and terminates cellular respiration. This has profound, rapid effects on the nervous system and quickly leads to coma. Patients who remain awake will often improve after being moved to an area with uncontaminated air and with supplemental oxygen. More severely affected patients require aggressive supportive care (ventilation) and specific treatment with sodium nitrite, which induces methemoglobinemia. As in patients with cyanide intoxication, induction of methemoglobinemia is helpful by providing an alternative binding site for hydrogen sulfide. The combination of hydroxycobalamin (direct cyanide binding) and sodium thiosulfate (enhanced cyanide detoxification) is the treatment of choice for cyanide poisoning. They are not effective in treating hydrogen sulfide poisoning. Methylene blue is used to treat methemoglobinemia. Succimer (meso-2,3-dimercaptosuccinic acid) is an adjunctive treatment for lead poisoning. ",
A 34-year-old male presents with hypertension. He randomly checked his blood pressure at the drugstore and it was 172/His only symptoms are nasal congestion and malaise. He has been told he had borderline hypertension in the past but has not seen a physician in several years. You establish primary care follow-up within 24 hours for him. Which of the following is the next best step in management? ,Start metoprolol 50 mg PO b.i.d. ,Start amlodipine 10 mg PO q.d. ,Refer him to a cardiologist in 2 to 4 days ,Instruct him to avoid systemic decongestants ,Instruct him to reduce his sugar intake ,D,"Patients with mild essential hypertension will often exhibit rises in their blood pressure if they use systemic decongestants as symptomatic relief for upper respiratory infections. This patient should be counseled specifically to avoid decongestants for this reason. Starting oral antihypertensive therapy in this patient is not warranted given the lack of severe hypertension, the presence of next day follow-up, and the possibility of side effects or supratherapeutic effect. Cardiology referral for essential hypertension in an otherwise healthy 34-year-old male is not indicated. Sugar intake reduction, while laudable, will not have a significant immediate effect on the patient’s blood pressure (reduction in salt intake would certainly be recommended). ",
"A 35-year-old male presents with acute onset of pleuritic, right-sided chest pain for 2 days associated with mild dyspnea. He has no fever, cough, or chills. He reports no past medical history except smoking. Vital signs are 98.9°F, 105, 20, 120/70, 97% RA. Examination is unremarkable except for tachycardia. Electrocardiogram (EKG) shows sinus tachycardia without any other abnormalities, and chest x-ray reveals a small right-sided pleural effusion with clear lung fields. Which of the following is the next best step in management? ",Order blood cultures ,Order D-dimer ,Give gastrointestinal cocktail and assess response ,Give amoxicillin–clavulanic acid ,Order right-sided EKG ,B,"The patient has pleuritic chest pain, shortness of breath, and sinus tachycardia, indicating that he is at some risk for PE. The presence of pleuritic chest pain in the setting of a pleural effusion in a young patient without signs of CHF, pneumonia, or malignancy is most commonly due to PE. D dimer can be used as a risk stratification test for PE. Blood cultures are rarely helpful in previously healthy patients with dyspnea even with established diagnosis of pneumonia. Gastrointestinal cocktail is only helpful for therapeutic management of gastroesophageal reflux disease or peptic ulcer disease and should never be used as a diagnostic maneuver. The differential diagnosis in this patient includes atypical pneumonia, such as from Mycoplasma species. Amoxicillin–clavulanic acid does not adequately cover atypical organisms and should not be used in this case, due the absence of crackles, fever, or focal infiltrate on chest x-ray. Right-sided EKGs are helpful in evaluation of a right-sided MI to assess for right ventricular involvement. ",
"A 3-year-old male had a ventriculoperitoneal shunt (VPS) placed at 22 months due to hydrocephalus. It has not been revised since then and he has had no problems with it. He is now brought to the ED with a history of fever of 38.2°C, headache, and “fussiness.” Which of the following is true about this patient? ",The risk of VPS infection rises 1 year after insertion. ,Urgent lumbar puncture (LP) is indicated. ,The mortality of a VPS infection is roughly 75%. ,Hydrocephalus on CT scan rules out the presence of VPS infection. ,Most patients with a VPS infection have peripheral leukocytosis. ,E,"There is a dearth of data regarding pediatric patients with VPS infections. However, several studies have suggested that as many as one-third of patients may present with nonspecific clinical findings. The risk of infection is highest in the first 6 months after insertion or instrumentation (in the case of revision). In addition, patients younger than 4 years old and older than 61 years old have been shown to be at increased risk of infection. LP should never be performed without first obtaining a CT scan and reviewing the findings with a neurosurgeon. The mortality of VPS infection is roughly 30% to 40%. As many as one-third of patients with VPS infection may present with signs and symptoms of obstruction or VPS failure with or without a fever. These include hydrocephalus, papilledema, hypertension with concomitant bradycardia, and irregular respirations (Cushing response), personality changes, ataxia, and cranial nerve palsies. Over 80% of patients with a VPS infection have peripheral leukocytosis. ",
"A 56-year-old female presents with acute organophosphate overdose, with severe bronchorrhea, bradycardia, and coma. She is intubated for airway protection, and atropine therapy is initiated. After 10 mg of atropine, her heart rate (HR) is 130, blood pressure (BP) is 160/90, and her secretions are still copious. Which of the following is the most appropriate next step in management? ","Stop atropine, start epinephrine ","Stop atropine, start vasopressin ","Stop atropine, start pralidoxime ",Continue atropine therapy alone ,Continue atropine therapy and add pralidoxime ,E,"Organophosphates bind to and inhibit acetylcholinesterase, causing a cholinergic syndrome of systemic hypersecretion: Bronchorrhea, diarrhea, lacrimation, salivation, emesis, and incontinence. Effects on HR are variable. Mortality from organophosphate overdose is usually due to hypoxia from excessive bronchorrhea. Treatment involves high-dose atropine—the endpoint of atropine therapy is the reduction of bronchial secretions. Tachycardia and hypertension are not indications to stop atropine therapy. Over time, the binding of organophosphates to acetylcholinesterase becomes irreversible. Pralidoxime acts to break up this complex before this process (known as aging) occurs. ",
"A 25-year-old male ingests the mushroom, which he thought was edible. Which of the following effects can be expected? ",Hallucinations ,Liver failure ,Renal failure ,Blindness ,Adrenal infarction ,A,"The mushroom in the picture is Amanita muscaria, which contains muscimol, a hallucinogenic. It is intentionally ingested in parts of the world for the hallucinogenic effect. Despite its name, there is very little muscarine present in Amanita muscaria mushrooms and no toxic effect from this substance. Liver failure is seen with Amanita phalloides mushrooms, also known as the death cap. Renal failure and blindness are seen with ethylene glycol and methanol poisoning, respectively. Adrenal infarction is not a typical sequela of any common toxicologic agent. (Figure from Engelkirk P, ed. Burton’s Microbiology for the Health Sciences. 10th ed. Philadelphia, PA: Wolters Kluwer; 2014.) ",t11-65.png
"A 75-year-old female presents to the ED for evaluation of meningitis. She has had 12 hours of acute onset of headache, stiff neck, and fever. Physical examination demonstrates a febrile patient in moderate distress with nuchal rigidity and severe photophobia. A lumbar puncture is performed with the following results: On the basis of these results, the presumptive diagnosis of bacterial meningitis is made. Which of the following is the most appropriate therapy? ",Dexamethasone and imipenem ,Ceftriaxone alone ,"Ceftriaxone, ampicillin, and vancomycin ","Ceftriaxone, vancomycin, and dexamethasone ","Ampicillin, ceftriaxone, vancomycin, and dexamethasone ",E,"The treatment of bacterial meningitis varies by age of the patient. All patients should be treated with a third-generation cephalosporin to cover meningococcus, pneumococcus, and gram negative bacilli. At the extremes of age, Listeria monocytogenes is a more common pathogen and should be specifically treated with either ampicillin or trimethoprim–sulfamethoxazole. Vancomycin may be used in addition to these therapies to cover methicillin-resistant S. aureus in endemic areas. Dexamethasone should be given before or simultaneously with the first dose of antibiotics. ",
A 65-year-old asymptomatic man presents with the EKG as shown in image. Which of the following is the most likely associated condition? ,Hypertriglyceridemia ,Rheumatic fever ,Chronic obstructive pulmonary disease (COPD) ,Pulmonary embolism ,Hyperkalemia ,C,"The EKG demonstrates multifocal atrial tachycardia (MAT), which is associated most commonly with COPD, followed by congestive heart failure, hypokalemia, and hypomagnesemia. There are P waves of at least three different morphologies associated with an irregular tachycardia. Management involves treatment of the underlying condition. Patients with MAT rarely have hemodynamic compromise as a result of their dysrhythmia. (Figure from Fowler NO. Clinical Electrocardiographic Diagnosis: A Problem-Based Approach. Philadelphia, PA: Lippincott Williams & Wilkins; 2000, with permission.) ",t11-67.png
Which of the following is the most common serious complication of the edrophonium (Tensilon) test? ,Bradycardia ,Atrial fibrillation ,Oculogyric crisis ,Cough ,Seizure ,A,"Edrophonium is a cholinesterase inhibitor and may, therefore, produce symptoms of cholinergic toxicity, including bradycardia, excessive airway and oral secretions, tearing, and dyspepsia associated with nausea or vomiting. Of these, bradycardia is the most common serious side effect, even though it occurs very infrequently, having been reported in only 0.16% of patients. However, as excessive airway secretions may also occur, caution is advised in patients with lung diseases such as asthma or chronic obstructive pulmonary disease (COPD). Atropine should be at the bedside in case either of these symptoms occurs. Oculogyric crisis describes a dystonic reaction in which patients experience severe torticollis and extreme upward gaze that may persist for hours. It is most commonly due to treatment with neuroleptics (antipsychotics) and is terminated with the antimuscarinic drug benztropine (Cogentin) in concert with benzodiazepines. Cough, atrial fibrillation, and seizures are not associated with edrophonium use. ",
"A 58-year-old male with a history of hypertension and diabetes presents by EMS with chest pain that developed while he was cutting grass. The patient was normotensive upon EMS arrival. EMS administered two sublingual nitroglycerin tablets en route. Upon arrival, his initial vital signs are P 75, RR 18, BP 92/64, SaO2 98% on room air. His EKG is shown (Fig. 11-12). Which of the following is true? ",Jugular venous distension may be present ,He is likely to have rales on examination ,Beta blockers are an important component of therapy ,Hypotension which develops after nitroglycerin administration suggests left ventricle infarction ,Intravenous fluids should be avoided due to a concern of heart failure ,A,"This patient has an inferior ST elevation MI with reciprocal ST depressions anteriorly. While the patient likely has concomitant inferior involvement of the left ventricular wall, the patient’s hypotension after nitroglycerin strongly suggests right ventricular involvement. A right sided EKG demonstrating ST elevation in V4R is considered diagnostic (>90% sensitivity and specificity). Agents that reduce preload such as nitrates, opioids, or beta-blockers should be avoided or used with caution in patients with right ventricular involvement or signs of right ventricular failure (elevated jugular venous pressure, peripheral edema, hepatomegaly, clear lung examination). Instead, such patients should receive small boluses of IV fluid to optimize preload. In patients who remain hypotensive despite preload, dopamine may be a helpful adjunct. ",t11-69.png
Which of the following is the most common etiology of death from child abuse? ,Retroperitoneal hemorrhage ,Hemothorax ,Intracranial hemorrhage ,Burns ,Drowning ,C,"More than 2,000 children per year die of child abuse. The most common mechanism is head injury, followed by intra-abdominal bleeding. Evaluation and treatment of injuries from child abuse are often delayed due to the abuser’s status as primary or secondary caretaker. Intracranial injuries commonly include subdural hematoma, SAH, and cerebral contusions. A vigorous shaking mechanism alone in an infant is enough to cause a fatal brain hemorrhage. The other answer choices listed are less common causes of death from child abuse. The most common overall manifestations of child abuse are soft-tissue injuries, followed by long-bone fractures. ",
"A 72-year-old male presents with a rash on his right abdomen. He complains of a 1-week history of burning discomfort extending from his low back to his low right abdomen, and a 1-day history of a rash over his abdomen only. The area “tingles” and burns and is “sensitive” to the touch. Which of the following is the most likely etiologic agent? ",Herpes simplex virus (HSV) ,Varicella zoster virus (VZV) ,Human immunodeficiency virus ,Epstein–Barr virus (EBV) ,Parvovirus ,B,"The patient has a dermatomal rash consistent with shingles, caused by VZV. Shingles is due to reactivation of dormant VZV—primary VZV is also known as chickenpox. Many patients with shingles will have a prodrome of pain before the rash appears, and vesicles are not always present. However, the description of this patient’s pain is typical of shingles, and pain is, in general, the most common complaint for which patients seek evaluation and treatment. Immunocompromised patients may have disseminated zoster infection, which spreads beyond the initial dermatome and ultimately results in systemic involvement. Older patients (>50 years of age) with shingles recover faster with antiviral therapy if treatment is started within 72 hours of the onset of symptoms. Otherwise, treatment is supportive with effective analgesia. While glucocorticoids are often used, their use does not reduce postherpetic neuralgia so they are not recommended. Steroids appear to hasten recovery, but their benefit is modest, and their use is associated with significant undesirable side effects, particularly in older patients. (Figure reprinted with permission from Fleisher GR, Baskin MN. Atlas of Pediatric Emergency Medicine. Philadelphia, PA: Lippincott Williams & Wilkins; 2003:214.) ",t11-71.png
A 20-year-old male presents with diffuse lower extremity myalgias and dark urine after participating in an adventure race. Which of the following is true? ,Hypercalcemia is the most common electrolyte abnormality. ,Detection of serum myoglobin is the most sensitive means of diagnosing rhabdomyolysis. ,"Acute kidney injury is likely if the creatine kinase (CK) is >2,000 Units/L ",Loop diuretics are an effective treatment adjunct. ,Creatine kinase (CK) has a much longer half-life than myoglobin. ,E,"This patient presents with rhabdomyolysis. Hypocalcemia is the most common electrolyte abnormality as calcium floods the intracellular space when myocyte membranes fail. Because hyperphosphatemia may also occur, treatment of hypocalcemia is not recommended unless symptoms are severe or unless severe hyperkalemia develops. Otherwise, calcium phosphate may precipitate and form deposits in tissues. Myoglobin has a plasma half-life of only 1 to 3 hours, making detection sometimes difficult. Although myoglobinuria is pathognomonic for rhabdomyolysis, measurement of creatine kinase (CK) is the most sensitive method to detect muscle cell injury. CK has a half-life of 1.5 days. The classic finding of a urine dipstick that is positive for blood while microscopic urinalysis reveals no red blood cells is present only 50% of the time. In addition to trauma, HMG-CoA reductase inhibitors are a well-known cause of rhabdomyolysis. IV fluids are the mainstay of treatment, and should be started when the CK >5,000 Units/L. Alkalinization may be helpful while loop diuretics offer no benefit. ",
Primary chronic adrenal insufficiency is usually due to: ,Sarcoidosis ,Hemorrhage ,Pituitary insufficiency ,Idiopathic ,Iron deposition ,D,"Increasingly, acute adrenal insufficiency is thought to be a rare condition, and most cases of acute adrenal insufficiency probably represent an exacerbation of chronic disease. When acute adrenal insufficiency occurs, it is most commonly due to exogenous glucocorticoid administration. Chronic adrenal insufficiency is idiopathic (thought to be autoimmune-mediated destruction of the adrenal gland) in 66% to 75% of cases. ",
Cancer of which of the following organs is the most common cause of superior vena cava (SVC) syndrome? ,Breast ,Lung ,Testicle ,Colon ,Thyroid ,B,"Historically, the majority of cases of SVC syndrome (obstruction of the SVC) were due to syphilitic aortic aneurysms, tuberculosis, and cancer. Today they are primarily due to deep venous thrombosis of the SVC in patients with an indwelling catheter such as a PICC line or Port-a-Cath. Many of these patients have such devices because of cancer treatment, but their cancers are not the primary cause of SVC obstruction. Among neoplastic causes, lung cancer is the most common. Breast and testicular cancer are less common causes of SVC syndrome. Colon and thyroid neoplasms are uncommon causes. Symptoms include facial and upper extremity edema, shortness of breath, cough, and chest pain. Diagnosis is made by physical examination, chest x-ray, and advanced imaging such as echocardiography, CT, and/or MRI. Management has traditionally involved radiation therapy, but chemotherapy and surgical evaluation have potential roles in the acute treatment as well. ",
Which of the following is true regarding labetalol? ,Effect on α-receptors is greater than that on β-receptors. ,Reflex tachycardia is a common complication. ,Orthostatic changes with IV use are rare. ,BP is more easily controlled than with nitroprusside. ,It is superior to nitroprusside as monotherapy for aortic dissection. ,E,"Labetalol antagonizes α-1, β-1, and β-2 adrenergic receptors. The β-blockade is much greater than the α-blockade, although both function to provide rapid, predictable BP control without causing reflex tachycardia. This blunting of the tachycardic response along with concomitant arteriolar vasodilation makes labetalol ideal as the initial single agent for management of aortic dissection, where reduction of heart rate is as important as reduction of BP. Orthostatic hypotension with oral labetalol is rare, but IV formulations can cause major changes. Nitroprusside and labetalol are roughly equal in their ability to control BP rapidly and predictably. ",
Which of the following is the best adjunct to the physical examination in assessing the severity of an asthma attack? ,Arterial blood gas (ABG) ,Peak expiratory flow rate (PEFR) ,Chest x-ray ,Continuous cardiac monitoring ,"FEV1 (forced expiratory volume in 1 second, expressed as L/second) ",B,"The PEFR (in L/second) and the FEV1 (in L) are both valuable adjuncts in assessing the severity of airflow obstruction. Because of its portability and ease of application, however, PEFR is much more easily measured and is more useful for EPs. Although the absolute value of the PEFR may be useful, it is most useful in comparison to a patient’s typical best (as a percentage). A patient who generates a PEFR <50% of his or her typical best has severe airflow obstruction. The utilization of ABG determination widely varies in clinical practice. As a general rule, patients in whom oxygenation can’t be reliably assessed due to an erratic or absent pulse oximetry waveform should receive an ABG. Repeat ABGs are generally not needed to determine whether a patient is improving or deteriorating. Chest x-rays are not generally useful in patients with asthma exacerbations. They do not reflect the severity of the exacerbation. They are generally useful only for those patients in whom pneumonia, or a complication (e.g., pneumothorax) is suspected, or in those patients who remain refractory despite optimal therapy. Neither continuous cardiac monitoring, nor routine EKGs are useful in routine asthma exacerbations. Both of these may be useful, however, in older patients with coexisting cardiac disease. Most patients have pulse rates between 90 and 120, and only 15% exceed this value. ",
"A 19-year-old male presents with fevers, chills, malaise, and rash for 5 days. He recently returned from a camping trip. The rash is macular and located on the wrists, ankles, palms, and soles. Routine laboratory work including lumbar puncture is normal. Which of the following is the most appropriate next step? ",Watchful waiting ,Doxycycline ,Acyclovir ,Clindamycin ,TMP-SMX ,B,"With the history of a recent camping trip, tick-borne illness should be suspected. In this case, the patient likely has Rocky Mountain spotted fever, caused by the intracellular bacterium, Rickettsia rickettsii. The organism causes endothelial cell damage, resulting in diffuse vasculitis and multiple organ microinfarctions and failure. Acute respiratory distress syndrome, DIC, and shock all may occur in serious cases. Rash on the wrists and ankles following a nonspecific viral-like syndrome is characteristic. Laboratory work is usually normal, though thrombocytopenia may occur. Treatment is with doxycycline or chloramphenicol. Choices A, C, D, and E will not adequately treat the rickettsial infection. ",
Which of the following laboratory tests is most likely to be normal in patients with acute disseminated intravascular coagulation (DIC)? ,Prothrombin time ,Partial thromboplastin time ,Platelet count ,Hemoglobin ,Fibrinogen ,D,"DIC is an acquired consumptive coagulopathy which may occur in patients who are critically ill. Disorder of the clotting cascade causes platelets and clotting factors to be consumed, leading to both hemorrhagic and thrombotic complications. Almost all have decreased levels of clotting factors, leading to prolongation in the prothrombin and partial thromboplastin times. Fibrinolysis occurs commonly, leading to decreased fibrinogen levels and an increase in fibrin split products. Acute anemia may not always occur, as some patients have relatively low hemorrhagic burden and hemoglobin levels may take time to equilibrate and not show subtle, acute decreases. ",
"The development of lethargy, headache, and vomiting in a pediatric patient being treated for diabetic ketoacidosis (DKA) suggests the presence of: ",Meningitis ,Cerebral edema ,Worsening acidosis ,Central pontine myelinolysis ,Hyponatremia ,B,"Cerebral edema is the most feared complication of DKA treatment in children. Although reports vary, cerebral edema complicates roughly 1% of pediatric DKA cases, with a mortality rate of 20% to 90%. Survivors have persistent neurologic sequelae 20% to 40% of the time. The development of cerebral edema is almost exclusively a complication of pediatric DKA. There is still no consensus regarding the etiology of cerebral edema in pediatric DKA. However, early clinical signs include headache, vomiting, decreased arousal, relative bradycardia, and relative hypertension. ",
"A 27-year-old female with HIV presents for evaluation of a 2-day history of fevers, chills, rigors, cough, and purulent sputum. Which of the following is the most likely cause of infection? ",Pneumocystis pneumonia (PCP) ,Streptococcus pneumoniae ,Crytptococcus ,Histoplasmosis ,Tuberculosis ,B,"Though pneumocystis pneumonia (PCP) is an important consideration in patients with HIV, typical organisms associated with community-acquired pneumonia predominate. This is increasingly true as the majority of patients are taking extremely effective highly active antiretroviral therapy (HAART). Unless the CD4 count is <200, opportunistic infections are uncommon. Furthermore, the abrupt onset of this patient’s symptoms along with purulent sputum is typical of patients with community-acquired bacterial pneumonia. In contrast, patients with PCP have a nonproductive cough, dyspnea, and a more gradual onset. Tuberculosis should be considered in all HIV patients presenting with pulmonary symptoms. However, the symptoms are typically gradual and subacute to chronic. Patients with early HIV behave like patients who are HIV negative, with symptoms of fever, cough, night sweats, and weight loss. Chest x-ray may reveal cavitation and patients may present with blood-streaked sputum. Cavitation and hemoptysis are often absent in patients with more advanced HIV, who may present with dissemination (e.g., fever without a source) or extrapulmonary TB (cervical lymphadenopathy). ",
"A 64-year-old female with a past history of sick sinus syndrome and recent pacemaker placement presents with neck pain after a low-speed motor vehicle collision. She has midline cervical spine tenderness at C6–A cervical spine plain film series is inadequate for visualizing these segments, so a CT scan is performed. The CT scan is normal, but the patient still has pain in her neck. Which of the following is the most appropriate next step in management? ",Discharge home with soft collar ,Discharge home with hard collar ,Flexion–extension cervical spine x-rays ,Oblique cervical spine x-rays ,MRI of the cervical spine ,C,"Modern, multidetector CT scanners, which are ubiquitous in the United States, are nearly 100% sensitive in detecting clinically significant cervical spine injuries. Flexion and extension and oblique views don’t add additional information. While MRI is more sensitive for detecting ligamentous injuries, those injuries are almost never clinically relevant in patients without neurologic complaints or findings. Patients with persistent tenderness without neurologic complaints or findings may be discharged home with outpatient follow-up. Some guidelines suggest discharging patients in a rigid collar (such as a Miami-J, Aspen, or Philadelphia collar) with short-term follow-up, ideally in consultation with the trauma or neurosurgical team. As pacemakers are increasingly designed to be MRI-compatible, MRI utilization may increase in this patient population. Additionally, reasons for the motor vehicle collision should be aggressively sought—with a recent pacemaker placement for sick sinus syndrome, pacemaker malfunction and dysrhythmia causing syncope may be the causative process. Discharge, therefore, should not take place before both medical and traumatic issues are completely evaluated. ",
"A 16-year-old male is brought to the ED by his parents after he fell from a bicycle while practicing tricks. He struck the vertex of his helmet as he hit the ground and the fall was witnessed by his brother who said the patient was “out for a second.” There was no vomiting, and the patient denies any headache, but he says he cannot remember what happened, and does not remember that he was riding a bike. His mother also states he has been “forgetting new things” since the accident. Which of the following is true? ",Anterograde amnesia is typically more severe than retrograde amnesia after blunt head traum,Inability to recall one’s birthdate and name in an otherwise alert patient after trauma is most often a sign of malingering. ,The presence of a skull fracture is a strong predictor of intracranial bleeding. ,Postconcussion syndrome is more common among young children. ,"There are well-studied, evidenced-based guidelines regarding the optimal time to return to athletic activities. ",B,"This patient has suffered a concussion. However, the use of the word “concussion” often causes confusion due to competing and vague definitions. The American Academy of Neurology defines concussion as a trauma-induced alteration of mental status that may or may not be associated with loss of consciousness. In the literature, “concussion” is frequently used in reference to those patients with the mildest form of traumatic brain injury. In patients with head trauma, retrograde amnesia is more common and longer in duration than anterograde amnesia. Furthermore, patients who appear unable to recall their name or birthdate and are otherwise well are likely malingering. In contrast to past beliefs, simple (i.e., not depressed) skull fractures do not strongly predict underlying brain hemorrhage. In fact, the fracture of the skull may well dissipate the majority of the energy delivered from the impact before it is transmitted to the brain. Postconcussion syndrome refers to the constellation of symptoms that occurs after head injury, including headache, dizziness, memory problems, and occasional neuropsychiatric complaints. It rarely occurs in young children. While there are several consensus-based guidelines regarding the optimal time to return to athletic activities, there is a lack of prospective data to guide these decisions. ",
The most common manifestation of barotrauma associated with scuba divers during descent is: ,Nitrogen narcosis ,Barosinusitis ,Temporomandibular joint dysfunction ,Facial barotrauma ,Middle ear barotrauma ,E,"Middle ear barotrauma or “middle ear squeeze” is the most common barotrauma-related problem during descent. Ear pain during descent is the most common symptom, although transient hearing loss may occur. Additionally, if the diver continues to deeper water, further increases in pressure may result in tympanic membrane (TM) rupture. TM rupture may alleviate some of the pain but it also exposes the middle ear to cold water, which may result in nystagmus and vertigo. A facial nerve palsy also uncommonly occurs. Nitrogen narcosis occurs during descent as increased levels of nitrogen are “forced” into the tissues. Symptoms typically occur at approximately 100 ft and resemble alcohol intoxication. Barosinusitis presents as facial pain that results from pressure changes in one of the facial sinuses. Facial barotrauma occurs when divers fail to equilibrate the airspace created by a dive mask over the eyes and nose. The relative negative pressure causes petechial hemorrhages on the face, subconjunctival hemorrhage, and conjunctival edema. Temporomandibular joint dysfunction is caused by teeth clenching and malocclusion resulting from a poorly fitting mask. The pain is felt near the ear and can be confused with middle ear barotrauma. ",
A 34-year-old female has a hemoglobin level of 10.0 g/dL with a low mean corpuscular volume. Which of the following is the most likely cause? ,α-Thalassemia ,β-Thalassemia ,Iron-deficiency anemia ,Sideroblastic anemia ,Folate deficiency ,C,"Iron-deficiency anemia is the most common cause of all anemias in women of childbearing age, likely due to menstrual blood loss. Iron-deficiency anemia is the number one cause of microcytic anemia and is characterized by a rapid response to oral iron therapy. Both α- and β-thalassemia cause microcytic anemia, but are far less common than iron-deficiency anemia. Microcytosis is more severe in patients with thalassemia than with iron-deficiency anemia. Definitive diagnosis is made by hemoglobin electrophoresis. Sideroblastic anemia is usually found in elderly patients, alcoholics, and in those with lead poisoning. Folate deficiency, although common, causes macrocytic anemia. ",
